timestamp;cipher;mode;file;rounds;message;
2017-06-27-12.44.48.066;-;-;-;0;running for 2 ext rounds and 20 internal rounds;
2017-06-27-12.44.48.066;-;encrypt;-;0;start for images;
2017-06-27-12.44.48.547;-;encrypt;/sdcard/Download/testimages/512x512Lenna.png;0;done loading image;
2017-06-27-12.45.18.558;AES C;encrypt;/sdcard/Download/testimages/512x512Lenna.png;0;starting external rounds;
2017-06-27-12.45.18.560;AES C;encrypt;/sdcard/Download/testimages/512x512Lenna.png;0;starting round;
2017-06-27-12.46.23.115;AES C;times for inner round in ms;/sdcard/Download/testimages/512x512Lenna.png;0;2933;
2017-06-27-12.46.23.118;AES C;times for inner round in ms;/sdcard/Download/testimages/512x512Lenna.png;1;1505;
2017-06-27-12.46.23.120;AES C;times for inner round in ms;/sdcard/Download/testimages/512x512Lenna.png;2;1335;
2017-06-27-12.46.23.123;AES C;times for inner round in ms;/sdcard/Download/testimages/512x512Lenna.png;3;1105;
2017-06-27-12.46.23.126;AES C;times for inner round in ms;/sdcard/Download/testimages/512x512Lenna.png;4;1188;
2017-06-27-12.46.23.128;AES C;times for inner round in ms;/sdcard/Download/testimages/512x512Lenna.png;5;1060;
2017-06-27-12.46.23.131;AES C;times for inner round in ms;/sdcard/Download/testimages/512x512Lenna.png;6;1068;
2017-06-27-12.46.23.133;AES C;times for inner round in ms;/sdcard/Download/testimages/512x512Lenna.png;7;1051;
2017-06-27-12.46.23.136;AES C;times for inner round in ms;/sdcard/Download/testimages/512x512Lenna.png;8;1035;
2017-06-27-12.46.23.138;AES C;times for inner round in ms;/sdcard/Download/testimages/512x512Lenna.png;9;1856;
2017-06-27-12.46.23.140;AES C;times for inner round in ms;/sdcard/Download/testimages/512x512Lenna.png;10;1222;
2017-06-27-12.46.23.143;AES C;times for inner round in ms;/sdcard/Download/testimages/512x512Lenna.png;11;1436;
2017-06-27-12.46.23.146;AES C;times for inner round in ms;/sdcard/Download/testimages/512x512Lenna.png;12;1160;
2017-06-27-12.46.23.148;AES C;times for inner round in ms;/sdcard/Download/testimages/512x512Lenna.png;13;1182;
2017-06-27-12.46.23.150;AES C;times for inner round in ms;/sdcard/Download/testimages/512x512Lenna.png;14;903;
2017-06-27-12.46.23.153;AES C;times for inner round in ms;/sdcard/Download/testimages/512x512Lenna.png;15;901;
2017-06-27-12.46.23.156;AES C;times for inner round in ms;/sdcard/Download/testimages/512x512Lenna.png;16;904;
2017-06-27-12.46.23.158;AES C;times for inner round in ms;/sdcard/Download/testimages/512x512Lenna.png;17;902;
