timestamp;cipher;mode;file;rounds;message
2018-09-30-09.18.05.514;-;-;-;0;running for 3 ext rounds and 5 internal rounds
2018-09-30-09.18.05.515;-;encrypt;-;0;start for images
2018-09-30-09.18.06.036;-;encrypt;/sdcard/Download/testimages/512x512Lenna.png;0;done loading image
2018-09-30-09.18.36.050;Image Cipher 2;encrypt;/sdcard/Download/testimages/512x512Lenna.png;0;starting external rounds
2018-09-30-09.18.36.053;Image Cipher 2;encrypt;/sdcard/Download/testimages/512x512Lenna.png;0;starting round
2018-09-30-09.19.41.636;Image Cipher 2;times for inner round in ms;/sdcard/Download/testimages/512x512Lenna.png;0;7303
2018-09-30-09.19.41.638;Image Cipher 2;times for inner round in ms;/sdcard/Download/testimages/512x512Lenna.png;1;5237
2018-09-30-09.19.41.640;Image Cipher 2;times for inner round in ms;/sdcard/Download/testimages/512x512Lenna.png;2;4637
2018-09-30-09.19.41.643;Image Cipher 2;times for inner round in ms;/sdcard/Download/testimages/512x512Lenna.png;3;4359
2018-09-30-09.19.41.645;Image Cipher 2;times for inner round in ms;/sdcard/Download/testimages/512x512Lenna.png;4;4041
2018-09-30-09.19.41.648;Image Cipher 2;times for ext round in ms;/sdcard/Download/testimages/512x512Lenna.png;0;65580
2018-09-30-09.19.41.671;Image Cipher 2;encrypt;/sdcard/Download/testimages/512x512Lenna.png;1;starting round
2018-09-30-09.20.45.008;Image Cipher 2;times for inner round in ms;/sdcard/Download/testimages/512x512Lenna.png;0;6721
2018-09-30-09.20.45.012;Image Cipher 2;times for inner round in ms;/sdcard/Download/testimages/512x512Lenna.png;1;4119
2018-09-30-09.20.45.014;Image Cipher 2;times for inner round in ms;/sdcard/Download/testimages/512x512Lenna.png;2;4107
2018-09-30-09.20.45.016;Image Cipher 2;times for inner round in ms;/sdcard/Download/testimages/512x512Lenna.png;3;4111
2018-09-30-09.20.45.019;Image Cipher 2;times for inner round in ms;/sdcard/Download/testimages/512x512Lenna.png;4;4250
2018-09-30-09.20.45.022;Image Cipher 2;times for ext round in ms;/sdcard/Download/testimages/512x512Lenna.png;1;63307
2018-09-30-09.20.45.100;Image Cipher 2;encrypt;/sdcard/Download/testimages/512x512Lenna.png;2;starting round
