USER     PID   PPID  VSIZE  RSS     WCHAN    PC        NAME
root      1     0     9244   872   ffffffff 00000000 S /init
root      2     0     0      0     ffffffff 00000000 S kthreadd
root      3     2     0      0     ffffffff 00000000 S ksoftirqd/0
root      6     2     0      0     ffffffff 00000000 S migration/0
root      7     2     0      0     ffffffff 00000000 S watchdog/0
root      8     2     0      0     ffffffff 00000000 S migration/1
root      10    2     0      0     ffffffff 00000000 S ksoftirqd/1
root      11    2     0      0     ffffffff 00000000 S watchdog/1
root      12    2     0      0     ffffffff 00000000 S migration/2
root      14    2     0      0     ffffffff 00000000 S ksoftirqd/2
root      15    2     0      0     ffffffff 00000000 S watchdog/2
root      16    2     0      0     ffffffff 00000000 S migration/3
root      18    2     0      0     ffffffff 00000000 S ksoftirqd/3
root      19    2     0      0     ffffffff 00000000 S watchdog/3
root      20    2     0      0     ffffffff 00000000 S khelper
u0_a96    309   1846  1031892 20224 ffffffff 00000000 S com.sec.android.provider.badge
u0_a44    324   1846  1054216 36308 ffffffff 00000000 S com.samsung.android.sdk.samsunglink
u0_a29    340   1846  1035668 24644 ffffffff 00000000 S com.wsomacp
u0_a49    373   1846  1052892 23248 ffffffff 00000000 S com.sec.android.app.samsungapps
root      380   2     0      0     ffffffff 00000000 S sync_supers
root      382   2     0      0     ffffffff 00000000 S bdi-default
root      384   2     0      0     ffffffff 00000000 S kblockd
u0_a51    395   1846  1033144 18576 ffffffff 00000000 S com.sec.android.service.health
root      402   2     0      0     ffffffff 00000000 S spi1
system    411   1846  1032844 21400 ffffffff 00000000 S com.sec.pcw.device
root      427   2     0      0     ffffffff 00000000 S irq/310-sec-pmi
u0_a119   435   1846  1040240 18684 ffffffff 00000000 S com.samsung.android.sconnect
system    452   1846  1099028 26184 ffffffff 00000000 S com.android.settings
root      458   2     0      0     ffffffff 00000000 S irq/307-rt5033
system    469   1846  1035780 18436 ffffffff 00000000 S com.sec.knox.bridge
u0_a145   485   1846  1032456 18620 ffffffff 00000000 S com.samsung.knox.rcp.components
root      499   2     0      0     ffffffff 00000000 S rt5033chg_workq
u0_a111   505   1846  1031952 18504 ffffffff 00000000 S com.sec.android.widgetapp.activeapplicationwidget
root      520   2     0      0     ffffffff 00000000 S cfg80211
system    536   1846  1034056 18608 ffffffff 00000000 S com.samsung.hs20settings
root      550   2     0      0     ffffffff 00000000 S khungtaskd
root      551   2     0      0     ffffffff 00000000 S kswapd0
u0_a167   569   32620 9360   648   ffffffff 00000000 S sh
u0_a167   573   569   9360   752   ffffffff 00000000 S /system/bin/sh
u0_a167   581   573   6064   916   ffffffff 00000000 S /data/data/at.fhjoanneum.platzerf.imageciphercomparison/lldb/bin/lldb-server
u0_a167   586   581   9144   2248  ffffffff 00000000 S /data/data/at.fhjoanneum.platzerf.imageciphercomparison/lldb/bin/lldb-server
u0_a167   587   586   9136   3940  ffffffff 00000000 S /data/data/at.fhjoanneum.platzerf.imageciphercomparison/lldb/bin/lldb-server
root      598   2     0      0     ffffffff 00000000 S fsnotify_mark
root      619   2     0      0     ffffffff 00000000 S ecryptfs-kthrea
root      625   2     0      0     ffffffff 00000000 S crypto
root      647   2     0      0     ffffffff 00000000 S s3c-fb
root      648   2     0      0     ffffffff 00000000 S s3c-fb-vsync
root      736   2     0      0     ffffffff 00000000 S mali_dvfs
root      790   2     0      0     ffffffff 00000000 S irq/331-sm5502-
root      802   2     0      0     ffffffff 00000000 S irq/318-wm8994
